Action name,Iteration,Status,Responsiveness,Start time,End time,"Duration, msec"
Service/Login,1,Passed,N/A,2020-10-02 10:54:48.601000,2020-10-02 10:55:32.250000,2257
Service Step/CloseNotifications,1,Passed,N/A,2020-10-02 10:55:32.409000,2020-10-02 10:55:35.119000,2710
Service Step/CloseApp,1,Passed,N/A,2020-10-02 10:55:35.246000,2020-10-02 10:55:35.390000,144
HomePage/OpenTabRefreshToken,1,Passed,N/A,2020-10-02 10:55:35.505000,2020-10-02 10:55:42.822000,4605
HomePage/OpenTabRefreshToken,2,Passed,N/A,2020-10-02 10:58:19.312000,2020-10-02 10:58:24.652000,2400
HomePage/OpenTabRefreshToken,3,Passed,N/A,2020-10-02 11:00:57.905000,2020-10-02 11:01:03.249000,2555
HomePage/OpenTabRefreshToken,4,Passed,N/A,2020-10-02 11:03:34.517000,2020-10-02 11:03:40.390000,3066
HomePage/OpenTabRefreshToken,5,Passed,N/A,2020-10-02 11:06:11.983000,2020-10-02 11:06:17.717000,2836
HomePage/OpenTabRefreshToken,6,Passed,N/A,2020-10-02 11:08:49.681000,2020-10-02 11:08:55.596000,2931
HomePage/OpenTabRefreshToken,7,Passed,N/A,2020-10-02 11:11:25.905000,2020-10-02 11:11:31.644000,2867
HomePage/OpenTabRefreshToken,8,Passed,N/A,2020-10-02 11:14:02.743000,2020-10-02 11:14:09.308000,3638
HomePage/OpenTabRefreshToken,9,Passed,N/A,2020-10-02 11:16:43.265000,2020-10-02 11:16:49.062000,2461
HomePage/OpenTabRefreshToken,10,Passed,N/A,2020-10-02 11:19:21.531000,2020-10-02 11:19:28.254000,3776
HomePage/OpenTabRefreshToken,11,Passed,N/A,2020-10-02 11:20:32.285000,2020-10-02 11:20:38.625000,3419
HomePage/OpenTabRefreshToken,12,Passed,N/A,2020-10-02 11:21:31.349000,2020-10-02 11:21:37.050000,2881
HomePage/OpenTabRefreshToken,13,Passed,N/A,2020-10-02 11:22:30.674000,2020-10-02 11:22:35.782000,2235
HomePage/OpenTabRefreshToken,14,Failed,N/A,2020-10-02 11:25:07.743000,2020-10-02 11:25:21.169000,
HomePage/OpenTabRefreshToken,15,Passed,N/A,2020-10-02 11:25:25.539000,2020-10-02 11:25:31.533000,3145
HomePage/OpenTabRefreshToken,16,Passed,N/A,2020-10-02 11:28:02.290000,2020-10-02 11:28:08.483000,3293
HomePage/OpenTabRefreshToken,17,Passed,N/A,2020-10-02 11:30:38.646000,2020-10-02 11:30:44.542000,2997
HomePage/OpenTabRefreshToken,18,Passed,N/A,2020-10-02 11:33:17.447000,2020-10-02 11:33:22.729000,2385
HomePage/OpenTabRefreshToken,19,Passed,N/A,2020-10-02 11:35:51.774000,2020-10-02 11:35:58.137000,3581
HomePage/OpenTabRefreshToken,20,Passed,N/A,2020-10-02 11:38:35.104000,2020-10-02 11:38:41.255000,3083
HomePage/OpenTabRefreshToken,21,Passed,N/A,2020-10-02 11:41:11.692000,2020-10-02 11:41:16.986000,2386
HomePage/OpenTabRefreshToken,22,Passed,N/A,2020-10-02 11:43:47.828000,2020-10-02 11:43:53.644000,2880
